views,add_to_cart,searches,clicks,discount_percent,recency_days,redeemed
1.0,0.0,0.0,1.0,5.0,20.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
10.0,0.0,0.0,10.0,5.0,21.0,0
19.0,0.0,0.0,19.0,5.0,20.0,0
1.0,0.0,0.0,1.0,23.0,20.0,0
0.0,0.0,0.0,1.0,5.0,21.0,0
2.0,0.0,0.0,2.0,41.0,20.0,0
3.0,0.0,0.0,3.0,23.0,20.0,0
3.0,0.0,0.0,3.0,5.0,20.0,0
16.0,0.0,0.0,16.0,23.0,20.0,0
7.0,0.0,0.0,7.0,5.0,20.0,0
6.0,0.0,0.0,6.0,5.0,20.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
23.0,0.0,0.0,25.0,5.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
13.0,0.0,0.0,13.0,5.0,21.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
20.0,0.0,0.0,20.0,5.0,20.0,0
8.0,0.0,0.0,8.0,50.0,21.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
3.0,0.0,0.0,3.0,5.0,20.0,0
2.0,0.0,0.0,2.0,41.0,20.0,0
1.0,0.0,0.0,1.0,5.0,21.0,0
5.0,0.0,0.0,5.0,5.0,20.0,0
32.0,0.0,0.0,36.0,5.0,20.0,0
4.0,0.0,0.0,4.0,5.0,20.0,0
4.0,0.0,0.0,4.0,14.0,20.0,0
45.0,2.708988213,1.0,47.0,23.0,20.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
3.0,0.0,0.0,3.0,5.0,21.0,0
8.0,0.0,0.0,8.0,5.0,20.0,0
10.0,0.0,0.0,10.0,5.0,20.0,0
14.0,0.0,0.0,14.0,5.0,20.0,0
52.0,0.0,0.0,52.0,5.0,20.0,0
8.0,0.0,0.0,8.0,5.0,21.0,0
5.0,0.0,0.0,7.0,41.0,20.0,0
7.0,0.0,0.0,7.0,32.0,20.0,0
9.0,0.0,0.0,9.0,5.0,20.0,0
46.0,0.0,0.0,47.0,5.0,20.0,0
3.0,0.0,0.0,3.0,32.0,20.0,0
15.0,0.0,0.0,15.0,5.0,20.0,0
2.0,0.0,0.0,2.0,23.0,20.0,0
4.0,0.0,0.0,4.0,5.0,20.0,0
22.0,0.0,0.0,22.0,14.0,20.0,0
14.0,0.0,0.0,14.0,5.0,20.0,0
3.0,0.0,0.0,3.0,14.0,20.0,0
11.0,0.0,0.0,11.0,5.0,20.0,0
1.0,0.0,0.0,1.0,32.0,20.0,0
1.0,0.0,0.0,1.0,5.0,21.0,0
12.0,0.0,0.0,12.0,14.0,20.0,0
2.0,0.0,0.0,2.0,50.0,21.0,0
4.0,0.0,0.0,4.0,5.0,20.0,0
4.0,0.0,0.0,4.0,23.0,20.0,0
1.0,0.0,0.0,1.0,14.0,20.0,0
1.0,0.0,0.0,1.0,32.0,20.0,0
36.0,0.9723539564999999,2.0,42.0,14.0,20.0,0
4.0,0.0,0.0,4.0,23.0,20.0,0
16.0,0.0,0.0,18.0,32.0,20.0,0
6.0,0.0,0.0,6.0,23.0,20.0,0
8.0,0.0,0.0,8.0,5.0,20.0,0
42.0,1.915424634,0.0,54.0,5.0,20.0,0
14.0,0.0,0.0,14.0,5.0,21.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
27.0,1.145801785,0.0,30.0,41.0,20.0,1
90.0,0.0,0.0,94.0,5.0,20.0,0
1.0,0.0,0.0,1.0,32.0,20.0,0
18.0,0.0,0.0,18.0,5.0,20.0,0
1.0,0.0,0.0,1.0,14.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
20.0,0.0,0.0,20.0,5.0,20.0,0
2.0,0.0,0.0,2.0,23.0,20.0,0
8.0,0.0,0.0,8.0,5.0,20.0,0
3.0,0.0,0.0,3.0,5.0,20.0,0
16.0,0.0,0.0,16.0,5.0,20.0,0
36.0,0.5719705975,0.0,46.0,5.0,20.0,1
2.0,0.0,0.0,2.0,32.0,20.0,0
1.0,0.0,0.0,1.0,50.0,21.0,0
1.0,0.0,0.0,1.0,23.0,20.0,0
7.0,0.0,0.0,7.0,5.0,21.0,0
4.0,0.0,0.0,4.0,41.0,20.0,0
6.0,0.0,0.0,6.0,5.0,20.0,0
12.0,0.0,0.0,12.0,5.0,20.0,0
1.0,0.0,0.0,1.0,41.0,21.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
7.0,0.0,0.0,7.0,5.0,20.0,0
3.0,0.0,0.0,3.0,5.0,20.0,0
7.0,0.0,0.0,7.0,23.0,20.0,0
19.0,0.0,0.0,19.0,5.0,20.0,0
15.0,0.0,0.0,17.0,23.0,20.0,0
1.0,0.0,0.0,1.0,5.0,21.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
13.0,0.0,0.0,13.0,5.0,20.0,0
27.0,0.0,0.0,27.0,32.0,20.0,0
2.0,0.0,0.0,2.0,14.0,20.0,0
6.0,0.0,0.0,6.0,14.0,20.0,0
4.0,0.0,0.0,4.0,32.0,20.0,0
7.0,0.0,1.0,8.0,32.0,20.0,0
16.0,0.0,0.0,16.0,5.0,20.0,0
38.0,0.0,0.0,41.0,23.0,20.0,0
19.0,0.8767979465,0.0,23.0,50.0,21.0,1
6.0,0.0,0.0,6.0,23.0,20.0,0
36.0,0.0,1.0,39.0,41.0,20.0,0
17.0,0.0,0.0,20.0,5.0,20.0,0
2.0,0.0,0.0,2.0,5.0,20.0,0
9.0,0.0,1.0,10.0,41.0,20.0,0
12.0,0.0,0.0,12.0,5.0,20.0,0
2.0,0.0,0.0,2.0,41.0,20.0,0
128.0,0.0,4.0,138.0,5.0,20.0,0
4.0,0.0,0.0,4.0,32.0,20.0,0
4.0,0.0,0.0,4.0,23.0,20.0,0
1.0,0.0,0.0,1.0,41.0,20.0,0
25.0,0.0,0.0,27.0,14.0,20.0,0
30.0,0.0,1.0,31.0,14.0,20.0,0
12.0,0.0,0.0,12.0,5.0,21.0,0
21.0,0.0,0.0,21.0,41.0,20.0,0
11.0,0.0,0.0,11.0,14.0,20.0,0
8.0,0.0,0.0,8.0,5.0,20.0,0
6.0,0.0,0.0,6.0,5.0,20.0,0
6.0,0.0,0.0,6.0,5.0,20.0,0
4.0,0.0,0.0,4.0,32.0,20.0,0
14.0,0.0,2.0,16.0,41.0,20.0,0
3.0,0.0,0.0,3.0,5.0,20.0,0
11.0,0.0,0.0,11.0,5.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
9.0,0.0,0.0,9.0,23.0,20.0,0
10.0,0.0,0.0,10.0,23.0,20.0,0
51.0,0.0,0.0,55.0,32.0,20.0,0
3.0,0.0,0.0,3.0,5.0,20.0,0
2.0,0.0,0.0,2.0,5.0,21.0,0
16.0,0.0,0.0,18.0,5.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
6.0,0.0,0.0,6.0,41.0,20.0,0
26.0,0.0,0.0,32.0,32.0,20.0,0
6.0,0.0,0.0,6.0,5.0,20.0,0
9.0,0.0,0.0,9.0,5.0,20.0,0
